product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
Scuba High-Rise Jogger,PROD10190229_LULU,SAR,SAR 400.00,BUY,400.0,Sale,"All Yours For Less, Women's Pants, Root Lululemon, Seasonal, Valentines Day, Women's Collections, Womens, Cyber Monday, mss, Women's Joggers, Scuba Collection","on-sale, womens-bottoms, root-0, edits, valentines-day, womens-collections, women, cyber-monday, mss, womens-joggers, scuba-collection",UPV0822226,Scuba High-Rise Jogger,True,inStock,400.0,BLACK,Color-Black,2
Scuba High-Rise Jogger,PROD10190229_LULU,SAR,SAR 400.00,BUY,400.0,Sale,"All Yours For Less, Women's Pants, Root Lululemon, Seasonal, Valentines Day, Women's Collections, Womens, Cyber Monday, mss, Women's Joggers, Scuba Collection","on-sale, womens-bottoms, root-0, edits, valentines-day, womens-collections, women, cyber-monday, mss, womens-joggers, scuba-collection",UPV0897709,Scuba High-Rise Jogger,True,lowStock,435.0,TRUE NAVY,color-true-navy,6
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,SAR,SAR 380.00,BUY,380.0,,"Seasonal, Root Lululemon, Summer Shop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Travel Edit","edits, root-0, summer-shop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, travel-edit",UPV0935123,Swiftly Relaxed-Fit Long Sleeve Shirt,True,inStock,380.0,SLATE/WHITE,color-slate-white,4
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,SAR,SAR 380.00,BUY,380.0,,"Seasonal, Root Lululemon, Summer Shop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Travel Edit","edits, root-0, summer-shop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, travel-edit",UPV0926109,Swiftly Relaxed-Fit Long Sleeve Shirt,True,lowStock,380.0,BLACK/BLACK,color-black-black,12
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,SAR,SAR 380.00,BUY,380.0,,"Seasonal, Root Lululemon, Summer Shop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Travel Edit","edits, root-0, summer-shop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, travel-edit",UPV0935217,Swiftly Relaxed-Fit Long Sleeve Shirt,True,inStock,380.0,WHITE/WHITE,color-white-white,8
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,SAR,SAR 380.00,BUY,380.0,,"Seasonal, Root Lululemon, Summer Shop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Travel Edit","edits, root-0, summer-shop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, travel-edit",FUA0092636D,Swiftly Relaxed Long-Sleeve Shirt *Hip Length,True,lowStock,225.0,ARMY GREEN/ARMY GREEN,color-army-green-army-green,2
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,SAR,SAR 380.00,BUY,380.0,,"Seasonal, Root Lululemon, Summer Shop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Travel Edit","edits, root-0, summer-shop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, travel-edit",FUA0093331D,Swiftly Relaxed Long-Sleeve Shirt *Hip Length,True,lowStock,265.0,PINK HAZE/PINK HAZE,color-pink-haze-pink-haze,4
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,SAR,SAR 380.00,BUY,380.0,,"Seasonal, Root Lululemon, Summer Shop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Travel Edit","edits, root-0, summer-shop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, travel-edit",FUA0100821D,Swiftly Relaxed Long-Sleeve Shirt *Hip Length,True,lowStock,265.0,RASPBERRY COULIS/RASPBERRY COULIS,color-raspberry-coulis-raspberry-coulis,8
Swiftly Relaxed-Fit Long Sleeve Shirt,PROD8510157_LULU,SAR,SAR 380.00,BUY,380.0,,"Seasonal, Root Lululemon, Summer Shop, Womens, Women's Tops, Training Clothes for Women, Sports Clothing for Women, Running Clothes for Women, Travel Edit","edits, root-0, summer-shop, women, womens-tops, women-activity-training, womens-activity, women-activity-running, travel-edit",FUA0100805D,Swiftly Relaxed Long-Sleeve Shirt *Hip Length,True,lowStock,265.0,PINK ORGANZA/PINK ORGANZA,color-pink-organza-pink-organza,8
"Hotty Hot High-Rise Lined Short 4""",PROD9250073_LULU,SAR,SAR 335.00,BUY,335.0,,"The Winter Edit, Seasonal, Root Lululemon, Winter Edit, Summer Shop, The Spring Edit, Womens, Sports Clothing for Women, Women's Shorts, Running Clothes for Women, Under SAR 200","winter-gifts, edits, root-0, winter-treats, summer-shop, the-spring-edit, women, womens-activity, womens-shorts, women-activity-running, under-200",UPV0858180,"Hotty Hot High-Rise Lined Short 4""",True,lowStock,335.0,WHITE,Color-White,6
