"input_code","reason"
"PROD20004427_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20004427', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20000783_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20000783', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20005347_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20005347', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20005567_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20005567', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"LW5H","Normalize error: Could not extract a valid product code"
"PROD20001599_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20001599', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20003591_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20003591', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20003647_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_403', 'args': {'productId': 'prod20003647', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 403, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20000439_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20000439', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20001043_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20001043', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20005827_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20005827', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20004039_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20004039', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20000347_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20000347', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD11580256_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_403', 'args': {'productId': 'prod11580256', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 403, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20004699_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20004699', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20005783_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20005783', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20005527_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20005527', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20001379_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20001379', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20004339_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20004339', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20000407_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20000407', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
"PROD20005075_L","Request/parse error: [{'message': 'GQL_PCM_API_ERROR', 'path': ['productDetailPage'], 'extensions': {'code': 'PCM_API_ERROR_404', 'args': {'productId': 'prod20005075', 'locale': 'en-us'}, 'mdConsolidated': False, 'statusCode': 404, 'serviceName': 'kiwi-module-pdp'}}]"
