product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",UPV0789558,"lululemon Align™ High-Rise Short 6""",True,lowStock,300.0,BLACK,Color-Black,12
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",FUA0108434D,"lululemon Align™ High-Rise Short 6""",True,inStock,300.0,PALM DECO,color-palm-deco,2
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",FUA0108444D,"lululemon Align™ High-Rise Short 6""",True,lowStock,300.0,BLISSFUL PINK,color-blissful-pink,8
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",FUA0109129D,"lululemon Align™ High-Rise Short 6""",True,lowStock,300.0,BLUE TWILL,color-blue-twill,2
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",FUA0108459D,"lululemon Align™ High-Rise Short 6""",True,lowStock,300.0,MINK BERRY,color-mink-berry,10
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",UPV0790077,"lululemon Align™ High-Rise Short 6""",True,lowStock,300.0,TRUE NAVY,color-true-navy,4
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",UPV0846658,"lululemon Align™ High-Rise Short 6""",True,lowStock,285.0,WHITE,Color-White,10
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",FUA0088366D,"lululemon Align™ High-Rise Short 6""",True,lowStock,210.0,LVCK,color-lvck,12
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Fall Edit, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, the-fall-edit, color-focus, womens-collections, the-spring-edit",FUA0063742D,"lululemon Align™ High-Rise Short 6""",True,lowStock,180.0,DARK FOREST,color-dark-forest,2
Women's Restfeel Slide,PROD11021003_LULU,AED,AED 270.00,BUY,270.0,New,"New in, Women's Shoes, Restfeel, Women's On the Move, Back To Work, Shoes, Sports Clothing for Women, Womens, Root Lululemon, Fall Edit, Seasonal","new, womens-shoes, restfeel, women-activity-on-the-move, back-to-work, shoes, womens-activity, women, root-0, the-fall-edit, edits",FUA0109145D,Women's Restfeel Slide,True,lowStock,270.0,BLK,Color-BLK,6
Women's Restfeel Slide,PROD11021003_LULU,AED,AED 270.00,BUY,270.0,New,"New in, Women's Shoes, Restfeel, Women's On the Move, Back To Work, Shoes, Sports Clothing for Women, Womens, Root Lululemon, Fall Edit, Seasonal","new, womens-shoes, restfeel, women-activity-on-the-move, back-to-work, shoes, womens-activity, women, root-0, the-fall-edit, edits",FUA0102885D,Women's Restfeel Slide,True,lowStock,270.0,LTIV/BLK,color-ltiv-blk,10
Women's Restfeel Slide,PROD11021003_LULU,AED,AED 270.00,BUY,270.0,New,"New in, Women's Shoes, Restfeel, Women's On the Move, Back To Work, Shoes, Sports Clothing for Women, Womens, Root Lululemon, Fall Edit, Seasonal","new, womens-shoes, restfeel, women-activity-on-the-move, back-to-work, shoes, womens-activity, women, root-0, the-fall-edit, edits",FUA0099691D,Women's Restfeel Slide,True,inStock,270.0,LAVENDER FROST/LAVENDER FROST/LAVENDER FROST,color-lavender-frost-lavender-frost-lavender-frost,7
Women's Restfeel Slide,PROD11021003_LULU,AED,AED 270.00,BUY,270.0,New,"New in, Women's Shoes, Restfeel, Women's On the Move, Back To Work, Shoes, Sports Clothing for Women, Womens, Root Lululemon, Fall Edit, Seasonal","new, womens-shoes, restfeel, women-activity-on-the-move, back-to-work, shoes, womens-activity, women, root-0, the-fall-edit, edits",UPV1283152,Women's Restfeel Slide,True,lowStock,260.0,STRAWBERRY MILKSHAKE/STRAWBERRY MILKSHAKE/STRAWBERRY MILKSHA,color-strawberry-milkshake-strawberry-milkshake-strawberry-milkshake,9
Women's Split Shift Running Shoe,PROD20001267_LULU,AED,AED 695.00,BUY,695.0,New,"New in, Women's Shoes, College Goals, Shoes, Sports Clothing for Women, Womens, Root Lululemon, Running Clothes for Women, Seasonal","new, womens-shoes, back-to-school, shoes, womens-activity, women, root-0, women-activity-running, edits",FUA0109272D,Women's Split Shift Running Shoe,True,inStock,695.0,LVPR/WHT/SILD,color-lvpr-wht-sild,8
Women's Split Shift Running Shoe,PROD20001267_LULU,AED,AED 695.00,BUY,695.0,New,"New in, Women's Shoes, College Goals, Shoes, Sports Clothing for Women, Womens, Root Lululemon, Running Clothes for Women, Seasonal","new, womens-shoes, back-to-school, shoes, womens-activity, women, root-0, women-activity-running, edits",FUA0109260D,Women's Split Shift Running Shoe,True,lowStock,695.0,ELIX/SRNB/NIGH,color-elix-srnb-nigh,8
Women's Split Shift Running Shoe,PROD20001267_LULU,AED,AED 695.00,BUY,695.0,New,"New in, Women's Shoes, College Goals, Shoes, Sports Clothing for Women, Womens, Root Lululemon, Running Clothes for Women, Seasonal","new, womens-shoes, back-to-school, shoes, womens-activity, women, root-0, women-activity-running, edits",FUA0101692D,Women's Split Shift Running Shoe,True,lowStock,695.0,WHT/POOL/BONE,color-wht-pool-bone,8.5
Woven Classic-Fit Pleated Trouser *Regular,PROD20002175_LULU,AED,AED 595.00,BUY,595.0,New,"New in, Root Lululemon, Men's On The Move, Mens, Sports Clothing for Men","new, root-0, men-activity-on-the-move, men, men-activity",FUA0109182D,Woven Classic-Fit Pleated Trouser *Regular,True,lowStock,595.0,BLACK,Color-Black,38
Softstreme Full-Zip Hoodie,PROD11680538_LULU,AED,AED 660.00,BUY,660.0,New,"New in, Women's Hoodies and Sweatshirts, Women's On the Move, Sports Clothing for Women, Women's Matching Sets, Womens, Root Lululemon, Travel Edit, Women's Jackets, Summer Shop, Women's Collections, Seasonal, Softstreme Collection","new, womens-hoodies-and-sweatshirts, women-activity-on-the-move, womens-activity, women-collection-matching-sets, women, root-0, travel-edit, womens-coats-and-jackets, summer-shop, womens-collections, edits, softstreme-collection",FUA0109043D,Softstreme Full-Zip Hoodie,True,lowStock,660.0,TRUE NAVY,color-true-navy,12
Softstreme Full-Zip Hoodie,PROD11680538_LULU,AED,AED 660.00,BUY,660.0,New,"New in, Women's Hoodies and Sweatshirts, Women's On the Move, Sports Clothing for Women, Women's Matching Sets, Womens, Root Lululemon, Travel Edit, Women's Jackets, Summer Shop, Women's Collections, Seasonal, Softstreme Collection","new, womens-hoodies-and-sweatshirts, women-activity-on-the-move, womens-activity, women-collection-matching-sets, women, root-0, travel-edit, womens-coats-and-jackets, summer-shop, womens-collections, edits, softstreme-collection",FUA0092572D,Softstreme Full-Zip Hoodie,True,lowStock,460.0,LVLX,color-lvlx,6
