product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, color-focus, womens-collections, the-spring-edit",UPV0789558,"lululemon Align™ High-Rise Short 6""",True,lowStock,300.0,BLACK,Color-Black,12
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, color-focus, womens-collections, the-spring-edit",FUA0099520D,"lululemon Align™ High-Rise Short 6""",True,lowStock,300.0,TRUE NAVY,color-true-navy,0
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, color-focus, womens-collections, the-spring-edit",UPV0846658,"lululemon Align™ High-Rise Short 6""",True,lowStock,285.0,WHITE,Color-White,10
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, color-focus, womens-collections, the-spring-edit",FUA0063742D,"lululemon Align™ High-Rise Short 6""",True,lowStock,180.0,DARK FOREST,color-dark-forest,2
"lululemon Align™ High-Rise Short 6""",PROD8351150_LULU,AED,AED 300.00,BUY,300.0,New,"New in, Women's Shorts, Align™ Collection, Womens, Root Lululemon, The Winter Drop, Summer Shop, Seasonal, Sports Clothing for Women, Travel Edit, Women's Collections, Yoga Clothes for Women, Lavender Lux, Women's Collections, The Spring Edit","new, womens-shorts, the-align-collection, women, root-0, the-winter-drop, summer-shop, edits, womens-activity, travel-edit, women-guides, women-activity-yoga, color-focus, womens-collections, the-spring-edit",FUA0088366D,"lululemon Align™ High-Rise Short 6""",True,lowStock,210.0,LVCK,color-lvck,12
"Ebb to Street Tank Top *Light Support, B/C Cup",PROD2380186_LULU,AED,AED 315.00,BUY,315.0,New,"New in, Women's Yoga Tops, The Pink Edit, Womens, Root Lululemon, Women's Tank Tops, The Winter Drop, Summer Shop, Seasonal, Women's Tops, Sports Clothing for Women, Travel Edit, Yoga Clothes for Women, Tennis Clothes for Women","new, yoga-tops, the-pink-edit, women, root-0, womens-tank-tops, the-winter-drop, summer-shop, edits, womens-tops, womens-activity, travel-edit, women-activity-yoga, women-activity-tennis",UPV0902529,"Ebb to Street Tank Top *Light Support, B/C Cup",True,inStock,315.0,TRUE NAVY,color-true-navy,4
"Ebb to Street Tank Top *Light Support, B/C Cup",PROD2380186_LULU,AED,AED 315.00,BUY,315.0,New,"New in, Women's Yoga Tops, The Pink Edit, Womens, Root Lululemon, Women's Tank Tops, The Winter Drop, Summer Shop, Seasonal, Women's Tops, Sports Clothing for Women, Travel Edit, Yoga Clothes for Women, Tennis Clothes for Women","new, yoga-tops, the-pink-edit, women, root-0, womens-tank-tops, the-winter-drop, summer-shop, edits, womens-tops, womens-activity, travel-edit, women-activity-yoga, women-activity-tennis",FUA0099351D,"Ebb to Street Tank Top *Light Support, B/C Cup",True,inStock,315.0,RCGR,color-rcgr,4
"Ebb to Street Tank Top *Light Support, B/C Cup",PROD2380186_LULU,AED,AED 315.00,BUY,315.0,New,"New in, Women's Yoga Tops, The Pink Edit, Womens, Root Lululemon, Women's Tank Tops, The Winter Drop, Summer Shop, Seasonal, Women's Tops, Sports Clothing for Women, Travel Edit, Yoga Clothes for Women, Tennis Clothes for Women","new, yoga-tops, the-pink-edit, women, root-0, womens-tank-tops, the-winter-drop, summer-shop, edits, womens-tops, womens-activity, travel-edit, women-activity-yoga, women-activity-tennis",UPV0600598,"Ebb to Street Tank Top *Light Support, B/C Cup",True,inStock,315.0,BLACK,Color-Black,10
"Ebb to Street Tank Top *Light Support, B/C Cup",PROD2380186_LULU,AED,AED 315.00,BUY,315.0,New,"New in, Women's Yoga Tops, The Pink Edit, Womens, Root Lululemon, Women's Tank Tops, The Winter Drop, Summer Shop, Seasonal, Women's Tops, Sports Clothing for Women, Travel Edit, Yoga Clothes for Women, Tennis Clothes for Women","new, yoga-tops, the-pink-edit, women, root-0, womens-tank-tops, the-winter-drop, summer-shop, edits, womens-tops, womens-activity, travel-edit, women-activity-yoga, women-activity-tennis",UPV0600601,"Ebb to Street Tank Top *Light Support, B/C Cup",True,lowStock,315.0,WHITE,Color-White,10
"Ebb to Street Tank Top *Light Support, B/C Cup",PROD2380186_LULU,AED,AED 315.00,BUY,315.0,New,"New in, Women's Yoga Tops, The Pink Edit, Womens, Root Lululemon, Women's Tank Tops, The Winter Drop, Summer Shop, Seasonal, Women's Tops, Sports Clothing for Women, Travel Edit, Yoga Clothes for Women, Tennis Clothes for Women","new, yoga-tops, the-pink-edit, women, root-0, womens-tank-tops, the-winter-drop, summer-shop, edits, womens-tops, womens-activity, travel-edit, women-activity-yoga, women-activity-tennis",FUA0064145D,"Ebb to Street Tank Top *Light Support, B/C Cup",True,lowStock,220.0,PSNT,color-psnt,4
"Ebb to Street Tank Top *Light Support, B/C Cup",PROD2380186_LULU,AED,AED 315.00,BUY,315.0,New,"New in, Women's Yoga Tops, The Pink Edit, Womens, Root Lululemon, Women's Tank Tops, The Winter Drop, Summer Shop, Seasonal, Women's Tops, Sports Clothing for Women, Travel Edit, Yoga Clothes for Women, Tennis Clothes for Women","new, yoga-tops, the-pink-edit, women, root-0, womens-tank-tops, the-winter-drop, summer-shop, edits, womens-tops, womens-activity, travel-edit, women-activity-yoga, women-activity-tennis",FUA0064149D,"Ebb to Street Tank Top *Light Support, B/C Cup",True,lowStock,220.0,NIGHTFALL,Color-Nightfall,12
"Ebb to Street Tank Top *Light Support, B/C Cup",PROD2380186_LULU,AED,AED 315.00,BUY,315.0,New,"New in, Women's Yoga Tops, The Pink Edit, Womens, Root Lululemon, Women's Tank Tops, The Winter Drop, Summer Shop, Seasonal, Women's Tops, Sports Clothing for Women, Travel Edit, Yoga Clothes for Women, Tennis Clothes for Women","new, yoga-tops, the-pink-edit, women, root-0, womens-tank-tops, the-winter-drop, summer-shop, edits, womens-tops, womens-activity, travel-edit, women-activity-yoga, women-activity-tennis",FUA0084381D,"Ebb to Street Tank Top *Light Support, B/C Cup",True,lowStock,220.0,PKTD,color-pktd,10
