baseProduct,brandName,code,crossedPrice,name,price,priceToCrossedPrice
105STNCRYDGD_GDBE,Gedebe,FUAE851555D,2850,Degrade All Over Crystal High Heel Pumps,855,0.3
23RES1051PWP_MTBR,Matthew Bruch,FUAE865337D,2750,Deep V Midi Dress,550,0.2
625523_MGBT,Magda Butrym,FUAE856107D,1650,Printed Swim Bottoms,330,0.2
12006123190_APL,APL,FUAE857865D,850,Techloom Bliss Sneakers,255,0.3
GRUNGERACERPANT_XCPT,X Concept,FUAE853150D,675,Grunge Racer Drawstring Knee Shorts,135,0.2
223423_MGBT,Magda Butrym,FUAE860239D,3700,Long Sleeves Knotted Top,740,0.2
602523_MGBT,Magda Butrym,FUAE855585D,1650,Blue Swim Bottoms,330,0.2
608523_MGBT,Magda Butrym,FUAE855627D,1525,Tie-up Swimming Bra,305,0.2
626523_MGBT,Magda Butrym,FUAE856152D,1650,Swim Printed Bottoms,330,0.2
12009123106_APL,APL,FUAE858712D,950,Techloom Wave Sneakers,285,0.3
FIGUEROAII_BONN,Bonnie & Clyde,FUA0042330D,525,effortlessly light frame sunglasses,130,0.24761904761904763
BB1IV_ARBL,Arabella,FUA0037781D,945,The Bardot Bustier Bra,185,0.19576719576719576
12006123413_APL,APL,FUAE857966D,850,Techloom Bliss Sneakers,255,0.3
IKI25NOIN_BUDH,Iki Buddha Pop,FUA0042794D,0,Buddha Iki Glossy Statue,555,0
2205601GR_KITR,Kitri,FUAE859690D,800,Edith Green Wide Leg Trousers,160,0.2
ERL06P201_ERL,ERL,FUA0037851D,1900,Printed Cargo Woven Pants,380,0.2
12125_AGBE,Agua by Agua Bendita,FUAE860114D,625,Kiwi Oasis Bikini Printed Top,125,0.2
2-23-2-17_GA81,GAUGE81,FUAE860106D,2550,Shiroi Long Dress,510,0.2
ACWMB201_ACWL,A-Cold-Wall,FUAE860794D,1400,Gradient Jersey Shorts,280,0.2
JC0704IVBUMEWS_JECH,Jennifer Chamandi,FUAE860242D,2800,Vittorio Tweed Mesh Slingback Pumps,840,0.3
JC0708IVPIWS_JECH,Jennifer Chamandi,FUAE860390D,2500,Vittorio Tweed Mesh Slingback Sandals,750,0.3
JC0795BLWS_JECH,Jennifer Chamandi,FUAE860622D,3300,Roberto Satin Strass Flat Sandals,990,0.3
S0218_CINC,Cin Cin,FUAE869313D,525,Cult Ruched Bikini Top,105,0.2
JA14162372_RHUD,Rhude,FUAE860127D,7250,Sambac Suiting Jacket,1450,0.2
HS23D283-55_HLSY,Hellessy,FUAE858967D,4050,Beatrix Denim Fringe Midi Dress,810,0.2
HR23P273-36_HLSY,Hellessy,FUAE858365D,3600,Sanford Wide Leg Pants,720,0.2
HR23T234-36_HLSY,Hellessy,FUAE858456D,4000,Isabelle Bustier Top,800,0.2
KNITVITOP_XCPT,X Concept,FUAE859681D,800,Knit Vi Long Sleeved Sweater,160,0.2
HQ4312_ADDS,Adidas,FUAE856098D,649,Hyperturf Sneakers,125,0.1926040061633282
HQ4444_ADDS,Adidas,FUAE856597D,749,Nmd V3 Sneakers,145,0.19359145527369825
JRGLTFW23_GDBE,Gedebe,FUAE861278D,2650,Jerry All Over Glitter Platform Mules,795,0.3
166_23_DESI,De Siena,FUA0037596D,870,Alicia Rafia Slippers,260,0.2988505747126437
SS23P304_DKAY,Dice Kayek,FUAE868786D,2950,Wide Leg Cropped Pants,590,0.2
ME023S_ALLS,AllSaints,UPV0783891,385,Switch Denim Shorts,150,0.38961038961038963
E3WE11_ERCA,Erika Cavallini,FUAE872474D,2250,Knitted Backless Top,560,0.24888888888888888
WT033X_ALLS,AllSaints,UPV1043102,1455,Sofia Velvet Blazer,725,0.49828178694158076
BA01002_HFORD,Hartford,FUAE871658D,575,Paul Pat Babycord Shirt,115,0.2
DK40D_DKMA,David Koma,FUAE871412D,5650,Sequin Asymmetric Neck Cutout One Sleeve Dress,1130,0.2
ERL06T014_ERL,ERL,FUAE873128D,700,Printed Long Sleeve Knitted T-Shirt,140,0.2
