product_name,baseProduct,product_price_currency,product_price_formatted,product_price_type,product_price_value,badges,categories,category_codes,option_code,option_productName,option_sellable,option_stock_status,option_price_value,color_name,color_value,size
Cora Suede Jacket,M064LB_ALLS,AED,"AED 1,650.00",BUY,1650.0,"New, BESTSELLER","New, All Leathers , Bestseller, Leather Jackets, Men, Clothing","new, men-leathers, men-bestseller, leather-jackets-men, men, men-clothing",FUA0084202D,Cora Suede Jacket,True,inStock,1650.0,,JET BLACK,XL
Cora Suede Jacket,M064LB_ALLS,AED,"AED 1,650.00",BUY,1650.0,"New, BESTSELLER","New, All Leathers , Bestseller, Leather Jackets, Men, Clothing","new, men-leathers, men-bestseller, leather-jackets-men, men, men-clothing",FUA0060496D,Cora Suede Jacket,True,lowStock,1650.0,,JET BLACK,L
Cora Suede Jacket,M064LB_ALLS,AED,"AED 1,650.00",BUY,1650.0,"New, BESTSELLER","New, All Leathers , Bestseller, Leather Jackets, Men, Clothing","new, men-leathers, men-bestseller, leather-jackets-men, men, men-clothing",FUA0070830D,Cora Suede Jacket,True,lowStock,1650.0,,ANTHRACITE GREY,XS
Cora Suede Jacket,M064LB_ALLS,AED,"AED 1,650.00",BUY,1650.0,"New, BESTSELLER","New, All Leathers , Bestseller, Leather Jackets, Men, Clothing","new, men-leathers, men-bestseller, leather-jackets-men, men, men-clothing",FUA0070834D,Cora Suede Jacket,True,lowStock,1650.0,,ANTHRACITE GREY,S
Cora Suede Jacket,M064LB_ALLS,AED,"AED 1,650.00",BUY,1650.0,"New, BESTSELLER","New, All Leathers , Bestseller, Leather Jackets, Men, Clothing","new, men-leathers, men-bestseller, leather-jackets-men, men, men-clothing",FUA0070835D,Cora Suede Jacket,True,inStock,1650.0,,ANTHRACITE GREY,M
Cora Suede Jacket,M064LB_ALLS,AED,"AED 1,650.00",BUY,1650.0,"New, BESTSELLER","New, All Leathers , Bestseller, Leather Jackets, Men, Clothing","new, men-leathers, men-bestseller, leather-jackets-men, men, men-clothing",FUA0070831D,Cora Suede Jacket,True,lowStock,1650.0,,ANTHRACITE GREY,XL
Cora Suede Jacket,M064LB_ALLS,AED,"AED 1,650.00",BUY,1650.0,"New, BESTSELLER","New, All Leathers , Bestseller, Leather Jackets, Men, Clothing","new, men-leathers, men-bestseller, leather-jackets-men, men, men-clothing",FUA0070832D,Cora Suede Jacket,True,inStock,1650.0,,ANTHRACITE GREY,L
Cora Suede Jacket,M064LB_ALLS,AED,"AED 1,650.00",BUY,1650.0,"New, BESTSELLER","New, All Leathers , Bestseller, Leather Jackets, Men, Clothing","new, men-leathers, men-bestseller, leather-jackets-men, men, men-clothing",FUA0070833D,Cora Suede Jacket,True,lowStock,1650.0,,ANTHRACITE GREY,XXL
Feyre Relaxed Fit Mini Dress,W075DD_ALLS,AED,AED 500.00,BUY,500.0,"New, BESTSELLER","New, Bestseller, Mini Dresses , Dresses, Clothing, Women","new, women-bestseller, women-dresses-mini-dresses, women-dresses, women-clothing, women",FUA0101571D,Feyre Relaxed Fit Mini Dress,True,lowStock,500.0,,BLACK,M
Amelie Embellished Oversized T-shirt,W073JD_ALLS,AED,AED 510.00,BUY,510.0,"New, BESTSELLER","New, T-Shirts, Bestseller, Short Sleeve T-Shirts, Fall Edit, Clothing, Women","new, women-t-shirts, women-bestseller, women-t-shirts-short-sleeve-t-shirts, fall-edit, women-clothing, women",FUA0104622D,Amelie Embellished Oversized T-shirt,True,inStock,510.0,,BLACK,S
Amelie Embellished Oversized T-shirt,W073JD_ALLS,AED,AED 510.00,BUY,510.0,"New, BESTSELLER","New, T-Shirts, Bestseller, Short Sleeve T-Shirts, Fall Edit, Clothing, Women","new, women-t-shirts, women-bestseller, women-t-shirts-short-sleeve-t-shirts, fall-edit, women-clothing, women",FUA0104623D,Amelie Embellished Oversized T-shirt,True,lowStock,510.0,,BLACK,M
Amelie Embellished Oversized T-shirt,W073JD_ALLS,AED,AED 510.00,BUY,510.0,"New, BESTSELLER","New, T-Shirts, Bestseller, Short Sleeve T-Shirts, Fall Edit, Clothing, Women","new, women-t-shirts, women-bestseller, women-t-shirts-short-sleeve-t-shirts, fall-edit, women-clothing, women",FUA0104624D,Amelie Embellished Oversized T-shirt,True,lowStock,510.0,,BLACK,L
Future Short Sleeve T-Shirt,M006PD_ALLS,AED,AED 355.00,BUY,355.0,"New, BESTSELLER","New, Bestseller, T-Shirts, Fall Edit, Men, Clothing, Men's Graphic T-Shirts","new, men-bestseller, men-t-shirts, fall-edit, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0109407D,Future Short Sleeve T-Shirt,True,inStock,355.0,,CARBON GREY,S
Future Short Sleeve T-Shirt,M006PD_ALLS,AED,AED 355.00,BUY,355.0,"New, BESTSELLER","New, Bestseller, T-Shirts, Fall Edit, Men, Clothing, Men's Graphic T-Shirts","new, men-bestseller, men-t-shirts, fall-edit, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0109408D,Future Short Sleeve T-Shirt,True,lowStock,355.0,,CARBON GREY,M
Future Short Sleeve T-Shirt,M006PD_ALLS,AED,AED 355.00,BUY,355.0,"New, BESTSELLER","New, Bestseller, T-Shirts, Fall Edit, Men, Clothing, Men's Graphic T-Shirts","new, men-bestseller, men-t-shirts, fall-edit, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0109409D,Future Short Sleeve T-Shirt,True,inStock,355.0,,CARBON GREY,L
Future Short Sleeve T-Shirt,M006PD_ALLS,AED,AED 355.00,BUY,355.0,"New, BESTSELLER","New, Bestseller, T-Shirts, Fall Edit, Men, Clothing, Men's Graphic T-Shirts","new, men-bestseller, men-t-shirts, fall-edit, men, men-clothing, men-t-shirts-graphic-t-shirts",FUA0104797D,Future Short Sleeve T-Shirt,True,inStock,355.0,,GASTOR GREEN,L
Reel Short Sleeve T-Shirt,M019PD_ALLS,AED,AED 355.00,BUY,355.0,"New, BESTSELLER","New, Bestseller, T-Shirts, Fall Edit, Men, Clothing","new, men-bestseller, men-t-shirts, fall-edit, men, men-clothing",FUA0104865D,Reel Short Sleeve T-Shirt,True,inStock,355.0,,Chalk White,L
Reel Short Sleeve T-Shirt,M019PD_ALLS,AED,AED 355.00,BUY,355.0,"New, BESTSELLER","New, Bestseller, T-Shirts, Fall Edit, Men, Clothing","new, men-bestseller, men-t-shirts, fall-edit, men, men-clothing",FUA0104862D,Reel Short Sleeve T-Shirt,True,lowStock,355.0,,Chalk White,XS
Reel Short Sleeve T-Shirt,M019PD_ALLS,AED,AED 355.00,BUY,355.0,"New, BESTSELLER","New, Bestseller, T-Shirts, Fall Edit, Men, Clothing","new, men-bestseller, men-t-shirts, fall-edit, men, men-clothing",FUA0104864D,Reel Short Sleeve T-Shirt,True,inStock,355.0,,Chalk White,M
Reel Short Sleeve T-Shirt,M019PD_ALLS,AED,AED 355.00,BUY,355.0,"New, BESTSELLER","New, Bestseller, T-Shirts, Fall Edit, Men, Clothing","new, men-bestseller, men-t-shirts, fall-edit, men, men-clothing",FUA0104866D,Reel Short Sleeve T-Shirt,True,lowStock,355.0,,Chalk White,XL
Emotive Oversized Jacquard Cardigan,M014KD_ALLS,AED,AED 970.00,BUY,970.0,"New, BESTSELLER","New, Bestseller, Fall Edit, Men, Knitwear, Clothing","new, men-bestseller, fall-edit, men, men-knitwear, men-clothing",FUA0107739D,Emotive Oversized Jacquard Cardigan,True,lowStock,970.0,,BLACK,XXL
Ari Jersey Maxi Dress,W074DD_ALLS,AED,AED 755.00,BUY,755.0,New,New,new,FUA0109784D,Ari Jersey Maxi Dress,True,lowStock,755.0,,BLACK,UK 10/US 6
Ari Jersey Maxi Dress,W074DD_ALLS,AED,AED 755.00,BUY,755.0,New,New,new,FUA0109781D,Ari Jersey Maxi Dress,True,lowStock,755.0,,BLACK,UK 4/US 0
Ari Jersey Maxi Dress,W074DD_ALLS,AED,AED 755.00,BUY,755.0,New,New,new,FUA0109785D,Ari Jersey Maxi Dress,True,lowStock,755.0,,BLACK,UK 12/US 8
Ari Jersey Maxi Dress,W074DD_ALLS,AED,AED 755.00,BUY,755.0,New,New,new,FUA0109783D,Ari Jersey Maxi Dress,True,lowStock,755.0,,BLACK,UK 8/US 4
